2,160,0.0326,elu,adam,100,./Models_new_FLV/Island1/Generation 2/2__2_160_0.0326_elu_adam_100,17841604258.378517,63588.18638454354,C
3,110,0.0326,elu,adam,100,./Models_new_FLV/Island1/Generation 2/2__3_110_0.0326_elu_adam_100,19490788204.332478,70106.8056551606,M
2,160,0.025,selu,adamax,250,./Models_new_FLV/Island1/Generation 1/1__2_160_0.025_selu_adamax_250,19940796561.944283,61389.429804225736,I
2,200,0.025,selu,adamax,150,./Models_new_FLV/Island1/Generation 1/1__2_200_0.025_selu_adamax_150,20020223957.36278,63922.36605449631,I
2,170,0.02,elu,adamax,50,./Models_new_FLV/Island1/Generation 1/1__2_170_0.02_elu_adamax_50,20229910078.94501,67806.25851022516,I
2,185,0.0225,elu,adamax,150,./Models_new_FLV/Island1/Generation 2/2__2_185_0.0225_elu_adamax_150,20433000094.33811,66814.06921811613,C
2,209,0.0275,selu,adamax,200,./Models_new_FLV/Island1/Generation 2/2__2_209_0.0275_selu_adamax_200,20555681635.957653,64500.22261259837,C
2,220,0.030000000000000002,elu,adamax,200,./Models_new_FLV/Island1/Generation 1/1__2_220_0.030000000000000002_elu_adamax_200,20697443115.334846,69310.36322165713,I
2,194,0.0249,elu,adamax,250,./Models_new_FLV/Island1/Generation 2/2__2_194_0.0249_elu_adamax_250,21388399193.93761,68214.66898940002,M
2,165,0.0354,selu,adam,250,./Models_new_FLV/Island1/Generation 2/2__2_165_0.0354_selu_adam_250,23591607242.65581,72007.39284350566,C
2,194,0.0249,elu,adamax,500,./Models_new_FLV/Island1/Generation 2/2__2_194_0.0249_elu_adamax_500,24872953603.254776,75025.16901690589,M
3,209,0.0398,selu,adamax,150,./Models_new_FLV/Island1/Generation 2/2__3_209_0.0398_selu_adamax_150,25957078001.127007,89058.10642161069,C
2,40,0.0447,selu,adam,150,./Models_new_FLV/Island1/Generation 2/2__2_40_0.0447_selu_adam_150,26672595151.081306,75465.4310513963,M
3,190,0.08,selu,adagrad,100,./Models_new_FLV/Island1/Generation 1/1__3_190_0.08_selu_adagrad_100,35867766285.752266,99685.67091725548,I
4,160,0.0326,elu,adamax,50,./Models_new_FLV/Island1/Generation 2/2__4_160_0.0326_elu_adamax_50,36350991585.30559,124735.34917017,C
3,70,0.095,selu,adam,150,./Models_new_FLV/Island1/Generation 2/2__3_70_0.095_selu_adam_150,44611965401.13916,117376.66089205735,M
4,99,0.0419,selu,adam,200,./Models_new_FLV/Island1/Generation 2/2__4_99_0.0419_selu_adam_200,64419442598.26939,169310.46795957506,C
4,60,0.07,selu,adam,50,./Models_new_FLV/Island1/Generation 2/2__4_60_0.07_selu_adam_50,65278128446.97326,153817.0676484031,M
4,153,0.0359,selu,adamax,100,./Models_new_FLV/Island1/Generation 2/2__4_153_0.0359_selu_adamax_100,120202564891.80429,212705.02544845524,C
4,181,0.0359,selu,adamax,250,./Models_new_FLV/Island1/Generation 2/2__4_181_0.0359_selu_adamax_250,148305399203.55862,238842.6123511432,M
3,161,0.0807,selu,adam,350,./Models_new_FLV/Island1/Generation 2/2__3_161_0.0807_selu_adam_350,152488153933.86423,235426.82287233972,M
3,104,0.0548,selu,adagrad,200,./Models_new_FLV/Island1/Generation 2/2__3_104_0.0548_selu_adagrad_200,201859624869.69168,245423.14388934887,C
